TeamId,TeamName,SubmissionDate,Score,,"Average Score (as of June 2, 2018)"
1699248,Igor Praznik,5/18/18 14:56,0.768,,
1698113,Deargen,5/18/18 14:58,0.744,,
1698686,VigneshBaskaran,5/18/18 15:06,0.741,,
1698686,VigneshBaskaran,5/18/18 15:14,0.742,,
1699621,TaoL,5/18/18 15:15,0.744,,
1699629,Despoina I,5/18/18 15:15,0.768,,
1699128,"Yu,Hai (于海)",5/18/18 15:18,0.766,,
1699417,burst,5/18/18 15:22,0.736,,
1699417,burst,5/18/18 15:26,0.738,,
1699738,Bruno Vilela,5/18/18 15:28,0.765,,
1698686,VigneshBaskaran,5/18/18 15:32,0.748,,
1699885,Shakur,5/18/18 15:33,0.744,,
1697510,wuxiaobai24,5/18/18 15:43,0.705,,
1698639,sharthZ#23,5/18/18 15:44,0.77,,
1699417,burst,5/18/18 15:57,0.76,,
1699417,burst,5/18/18 15:58,0.769,,
1698791,dexter6855,5/18/18 15:59,0.766,,
1698791,dexter6855,5/18/18 16:00,0.767,,
1698791,dexter6855,5/18/18 16:00,0.768,,
1697510,wuxiaobai24,5/18/18 16:08,0.707,,
1697913,Maximilian Bernkopf,5/18/18 16:14,0.733,,
1699222,NxGTR,5/18/18 16:23,0.769,,
1699442,Mamy Ratsimbazafy,5/18/18 16:30,0.5,,
1697266,asiac,5/18/18 16:31,0.769,,
1698023,sasakama,5/18/18 16:33,0.768,,
1699165,Dan Emery,5/18/18 16:33,0.774,,
1697510,wuxiaobai24,5/18/18 16:34,0.763,,
1700009,Dimitar Tanov,5/18/18 16:35,0.5,,
1699494,arizuk,5/18/18 16:37,0.769,,
1697915,ziron,5/18/18 16:41,0.729,,
1698969,华南统计王队,5/18/18 16:55,0.725,,
1700003,Michael Pawlus,5/18/18 16:58,0.766,,
1699621,TaoL,5/18/18 17:00,0.747,,
1698364,Sean,5/18/18 17:05,0.741,,
1699544,silverstone,5/18/18 17:14,0.765,,
1698464,Simon Larsson,5/18/18 17:16,0.744,,
1699574,wayward artisan,5/18/18 17:31,0.742,,
1699168,Marek,5/18/18 17:43,0.769,,
1700221,Rachneet Kaur,5/18/18 17:51,0.5,,
1699621,TaoL,5/18/18 18:15,0.747,,
1699621,TaoL,5/18/18 18:16,0.748,,
1700110,Federico Peccia,5/18/18 18:32,0.698,,
1700110,Federico Peccia,5/18/18 18:35,0.715,,
1700292,In-Ho Yi,5/18/18 18:38,0.5,,
1700044,Greg Li,5/18/18 18:39,0.746,,
1700071,Mike,5/18/18 18:49,0.741,,
1700110,Federico Peccia,5/18/18 18:53,0.717,,
1699798,Akila Wajirasena,5/18/18 19:20,0.769,,
1698300,Silogram,5/18/18 19:28,0.763,,
1699252,星のtsu-nera☆彡,5/18/18 19:32,0.676,,
1699734,Thomas Nilsen,5/18/18 19:38,0.747,,
1697932,Aimoldin Anuar [dsmlkz] ,5/18/18 19:57,0.766,,
1697254,the default is default,5/18/18 20:00,0.759,,
1700439,kxx,5/18/18 20:02,0.745,,
1697095,zz,5/18/18 20:20,0.77,,
1700066,jesus mendoza,5/18/18 20:33,0.5,,
1697137,Bojan Tunguz,5/18/18 20:42,0.769,,
1698454,Khawar Ali,5/18/18 20:44,0.768,,
1700366,Amit Kumar Jaiswal,5/18/18 20:44,0.769,,
1700523,Mudit,5/18/18 20:50,0.744,,
1697643,Dmitry Larko,5/18/18 20:53,0.765,,
1700643,Jbmourad,5/18/18 21:06,0.769,,
1698422,Kumar,5/18/18 21:11,0.5,,
1700534,Boubacar Diallo,5/18/18 21:11,0.502,,
1698422,Kumar,5/18/18 21:12,0.769,,
1699439,Andreas,5/18/18 21:17,0.5,,
1700662,Mathurin Aché,5/18/18 21:21,0.769,,
1698300,Silogram,5/18/18 21:28,0.764,,
1700066,jesus mendoza,5/18/18 21:34,0.534,,
1700691,Derkanat,5/18/18 21:36,0.74,,
1700704,Salil Gautam,5/18/18 21:45,0.768,,
1700704,Salil Gautam,5/18/18 21:47,0.769,,
1700691,Derkanat,5/18/18 21:49,0.742,,
1699439,Andreas,5/18/18 21:53,0.603,,
1699734,Thomas Nilsen,5/18/18 21:58,0.749,,
1699439,Andreas,5/18/18 22:00,0.656,,
1697949,Schumi543,5/18/18 22:04,0.769,,
1699439,Andreas,5/18/18 22:05,0.663,,
1699165,Dan Emery,5/18/18 22:09,0.775,,
1700534,Boubacar Diallo,5/18/18 22:12,0.51,,
1700727,kamil,5/18/18 22:13,0.5,,
1700439,kxx,5/18/18 22:20,0.754,,
1700371,mahdi,5/18/18 22:25,0.769,,
1699544,silverstone,5/18/18 22:33,0.768,,
1700384,DarinaPeremot,5/18/18 22:36,0.718,,
1700171,Mileta,5/18/18 22:37,0.746,,
1700439,kxx,5/18/18 22:41,0.758,,
1700651,Shujian,5/18/18 22:42,0.769,,
1697245,Yujie,5/18/18 22:45,0.743,,
1697547,JohnM,5/18/18 22:49,0.769,,
1700725,mikedev,5/18/18 23:25,0.632,,
1700439,kxx,5/18/18 23:43,0.768,,
1700725,mikedev,5/18/18 23:44,0.636,,
1700751,AnirudhMurali,5/19/18 0:06,0.503,,
1697537,"twogate, too fit!",5/19/18 0:19,0.755,,
1700060,Thomas SELECK | Fabienvs,5/19/18 0:19,0.725,,
1697389,Owen Ouyang,5/19/18 0:35,0.744,,
1697081,CarterMcClellan,5/19/18 0:43,0.719,,
1700439,kxx,5/19/18 0:43,0.769,,
1697081,CarterMcClellan,5/19/18 0:49,0.731,,
1697081,CarterMcClellan,5/19/18 1:09,0.738,,
1698742,madonokoki,5/19/18 1:09,0.769,,
1698742,madonokoki,5/19/18 1:10,0.77,,
1700231,nrg,5/19/18 1:16,0.769,,
1699442,Mamy Ratsimbazafy,5/19/18 1:18,0.746,,
1697254,the default is default,5/19/18 1:29,0.77,,
1698113,Deargen,5/19/18 1:41,0.744,,
1699684,madcap,5/19/18 1:44,0.744,,
1698113,Deargen,5/19/18 2:13,0.756,,
1697356,holycraft,5/19/18 2:13,0.743,,
1697643,Dmitry Larko,5/19/18 2:18,0.775,,
1701064,saurabh singh,5/19/18 2:20,0.743,,
1700957,Cro-Magnon,5/19/18 2:21,0.733,,
1697389,Owen Ouyang,5/19/18 2:25,0.744,,
